inat2024_fsd50k
Abavorana luctuosa
Cryptoleucopteryx plumbea
Cryptolybia olivacea
Cryptomicroeca flaviventris
Cryptopezus nattereri
Cryptophaps poecilorrhoa
Cryptopipo holochlora
Cryptospiza jacksoni
Cryptospiza reichenovii
Cryptospiza salvadorii
Cryptosylvicola randrianasoloi
Cryptotympana acuta
Cryptotympana aquila
Cryptotympana atrata
Cryptotympana consanguinea
Cryptotympana facialis
Cryptotympana gracilis
Cryptotympana holsti
Cryptotympana mandarina
Cryptotympana recta
Cryptotympana takasagona
Cryptotympana timorica
Cryptotympana yaeyamana
Crypturellus atrocapillus
Crypturellus bartletti
Crypturellus berlepschi
Crypturellus boucardi
Crypturellus brevirostris
Crypturellus casiquiare
Crypturellus cinereus
Crypturellus cinnamomeus
Crypturellus duidae
Crypturellus erythropus
Crypturellus kerriae
Crypturellus noctivagus
Crypturellus obsoletus
Crypturellus parvirostris
Crypturellus ptaritepui
Crypturellus soui
Crypturellus strigulosus
Crypturellus tataupa
Crypturellus transfasciatus
Crypturellus undulatus
Crypturellus variegatus
Ctenodecticus bolivari
Ctenodecticus granatensis
Ctenodecticus lusitanicus
Ctenodecticus major
Ctenodecticus ramburi
Ctenodecticus thymi
Ctenomys argentinus
Ctenomys magellanicus
Ctenomys pearsoni
Ctenomys rionegrensis
Ctenomys torquatus
Ctenomys yolandae
Ctenophryne geayi
Ctenoscelis acanthopus
Cuculus canorus
Cuculus clamosus
Cuculus crassirostris
Cuculus gularis
Cuculus lepidus
Cuculus micropterus
Cuculus optatus
Cuculus poliocephalus
Cuculus rochii
Cuculus saturatus
Cuculus solitarius
Culicicapa ceylonensis
Culicicapa helianthea
Culicivora caudacuta
Cuon alpinus
Cupboard_open_or_close
Curaeus curaeus
Curruca balearica
Curruca boehmi
Curruca buryi
Curruca cantillans
Curruca communis
Curruca conspicillata
Curruca crassirostris
Curruca curruca
Curruca deserti
Curruca deserticola
Curruca hortensis
Curruca iberiae
Curruca layardi
Curruca leucomelaena
Curruca lugens
Curruca melanocephala
Curruca melanothorax
Curruca mystacea
Curruca nana
Curruca nisoria
Curruca ruppeli
Curruca sarda
Curruca subalpina
Curruca subcoerulea
Curruca undata
Cursorius coromandelicus
Cursorius cursor
Cursorius rufus
Cursorius somalensis
Cursorius temminckii
Cutia legalleni
Cutia nipalensis
Cutlery_and_silverware
Cyanerpes caeruleus
Cyanerpes cyaneus
Cyanerpes lucidus
Cyanerpes nitidus
Cyanicterus cyanicterus
Cyanistes caeruleus
Cyanistes cyanus
Cyanistes teneriffae
Cyanochen cyanoptera
Cyanocitta cristata
Cyanocitta stelleri
Cyanocompsa parellina
Cyanocorax affinis
Cyanocorax beecheii
Cyanocorax caeruleus
Cyanocorax cayanus
Cyanocorax chrysops
Cyanocorax colliei
Cyanocorax cristatellus
Cyanocorax cyanomelas
Cyanocorax cyanopogon
Cyanocorax dickeyi
Cyanocorax formosus
Cyanocorax heilprini
Cyanocorax melanocyaneus
Cyanocorax morio
Cyanocorax mystacalis
Cyanocorax sanblasianus
Cyanocorax violaceus
Cyanocorax yncas
Cyanocorax yucatanicus
Cyanoderma bicolor
Cyanoderma chrysaeum
Cyanoderma erythropterum
Cyanoderma melanothorax
Cyanoderma pyrrhops
Cyanoderma ruficeps
Cyanoderma rufifrons
Cyanograucalus azureus
Cyanolanius madagascarinus
Cyanoliseus patagonus
Cyanoloxia brissonii
Cyanoloxia cyanoides
Cyanoloxia glaucocaerulea
Cyanoloxia rothschildii
Cyanolyca argentigula
Cyanolyca armillata
Cyanolyca cucullata
Cyanolyca mirabilis
Cyanolyca nanus
Cyanolyca pulchra
Cyanolyca pumilo
Cyanolyca turcosa
Cyanolyca viridicyanus
Cyanomitra alinae
Cyanomitra bannermani
Cyanomitra cyanolaema
Cyanomitra olivacea
Cyanomitra oritis
Cyanomitra veroxii
Cyanomitra verticalis
Cyanopica cooki
Cyanopica cyanus
Cyanoptila cumatilis
Cyanoptila cyanomelana
Cyanoramphus auriceps
Cyanoramphus cookii
Cyanoramphus forbesi
Cyanoramphus malherbi
Cyanoramphus novaezelandiae
Cyanoramphus saisseti
Cychrus caraboides
Cyclarhis gujanensis
Cyclarhis nigrirostris
Cyclochila australasiae
Cyclochila virens
Cyclopsitta desmarestii
Cyclopsitta diophthalma
Cyclopsitta edwardsii
Cyclopsitta salvadorii
Cycloptiloides timah
Cycloptilum albocircum
Cycloptilum bidens
Cycloptilum comprehendens
Cycloptilum distinctum
Cycloptilum pigrum
Cycloptilum trigonipalpum
Cycloptilum zebra
Cycloramphus boraceiensis
Cygnus atratus
Cygnus buccinator
Cygnus columbianus
Cygnus cygnus
Cygnus melancoryphus
Cygnus olor
Cymbal
Cymbilaimus lineatus
Cymbilaimus sanctaemariae
Cymbirhynchus macrorhynchos
Cynanthus auriceps
Cynanthus canivetii
Cynanthus doubledayi
Cynanthus forficatus
Cynanthus latirostris
Cynictis penicillata
Cynomys gunnisoni
Cynomys leucurus
Cynomys ludovicianus
Cyornis brunneatus
Cyornis caerulatus
Cyornis glaucicomans
Cyornis hainanus
Cyornis herioti
Cyornis lemprieri
Cyornis magnirostris
Cyornis nicobaricus
Cyornis ocularis
Cyornis olivaceus
Cyornis omissus
Cyornis pallidipes
Cyornis pelingensis
Cyornis poliogenys
Cyornis rubeculoides
Cyornis ruficauda
Cyornis rufigastra
Cyornis sumatrensis
Cyornis superbus
Cyornis tickelliae
Cyornis turcosus
Cyornis umbratilis
Cyornis unicolor
Cyornis whitei
Cyphoderris buckelli
Cyphoderris monstrosa
Cyphorhinus arada
Cyphorhinus dichrous
Cyphorhinus phaeocephalus
Cyphorhinus thoracicus
Cyprinus carpio
Cypseloides cherriei
Cypseloides cryptus
Cypseloides fumigatus
Cypseloides lemosi
Cypseloides niger
Cypseloides rothschildi
Cypseloides senex
Cypseloides storeri
Cypsiurus balasiensis
Cypsiurus gracilis
Cypsiurus parvus
Cypsnagra hirundinacea
Cyrtaspis scutata
Cyrtodactylus deccanensis
Cyrtonyx montezumae
Cyrtonyx ocellatus
Cyrtophyllicus chlorum
Cyrtoxipha columbiana
Cyrtoxipha gundlachi
Cyrtoxipha nola
Cystopsaltria immaculata
Cystosoma saundersii
Cystosoma schmeltzi
Dacelo gaudichaud
Dacelo leachii
Dacelo novaeguineae
Dacelo rex
Dacelo tyro
Dacnis albiventris
Dacnis berlepschi
Dacnis cayana
Dacnis flaviventer
Dacnis hartlaubi
Dacnis lineata
Dacnis nigripes
Dacnis venusta
Dacnis viguieri
Dactylomys boliviensis
Dactylomys dactylinus
Dactylortyx thoracicus
Daintria australicus
Dama dama
Danaus plexippus
Daphoenositta chrysoptera
Daphoenositta miranda
Daphoenositta papuensis
Daption capense
Daptrius albogularis
Daptrius ater
Daptrius australis
Daptrius carunculatus
Daptrius chimachima
Daptrius chimango
Daptrius megalopterus
Darapsa choerilus
Dasycrotapha plateni
Dasycrotapha pygmaea
Dasycrotapha speciosa
Dasygnathus trituberculatus
Dasylabris atrata
Dasylophus cumingi
Dasylophus superciliosus
Dasymutilla occidentalis
Dasyornis brachypterus
Dasyornis broadbenti
Dasyornis longirostris
Dasyprocta leporina
Dasyprocta punctata
Dasypus novemcinctus
Dasyurus maculatus
Deconychura longicauda
Deconychura pallida
Decticita balli
Decticus albifrons
Decticus aprutianus
Decticus loudoni
Decticus verrucivorus
Delacourella capistrata
Deleornis axillaris
Deleornis fraseri
Delichon dasypus
Delichon lagopodum
Delichon nipalense
Delichon urbicum
Delphinapterus leucas
Dendragapus fuliginosus
Dendragapus obscurus
Dendrelaphis pictus
Dendrexetastes rufigula
Dendrobates leucomelas
Dendrobates truncatus
Dendrocincla anabatina
Dendrocincla fuliginosa
Dendrocincla homochroa
Dendrocincla merula
Dendrocincla turdina
Dendrocincla tyrannina
Dendrocitta bayleii
Dendrocitta cinerascens
Dendrocitta formosae
Dendrocitta frontalis
Dendrocitta leucogastra
Dendrocitta vagabunda
Dendrocolaptes certhia
Dendrocolaptes hoffmannsi
Dendrocolaptes picumnus
Dendrocolaptes platyrostris
Dendrocolaptes sanctithomae
Dendrocopos analis
Dendrocopos assimilis
Dendrocopos atratus
Dendrocopos darjellensis
Dendrocopos himalayensis
Dendrocopos hyperythrus
Dendrocopos leucopterus
Dendrocopos leucotos
Dendrocopos macei
Dendrocopos major
Dendrocopos noguchii
Dendrocopos syriacus
Dendrocoptes auriceps
Dendrocoptes dorae
Dendrocoptes medius
Dendrocygna arborea
Dendrocygna arcuata
Dendrocygna autumnalis
Dendrocygna bicolor
Dendrocygna eytoni
Dendrocygna guttata
Dendrocygna javanica
Dendrocygna viduata
Dendrohyrax arboreus
Dendrohyrax dorsalis
Dendrohyrax validus
Dendroma erythroptera
Dendroma rufa
Dendronanthus indicus
Dendropicos abyssinicus
Dendropicos elachus
Dendropicos elliotii
Dendropicos fuscescens
Dendropicos gabonensis
Dendropicos goertae
Dendropicos griseocephalus
Dendropicos lugubris
Dendropicos obsoletus
Dendropicos poecilolaemus
Dendropicos spodocephalus
Dendropicos stierlingi
Dendroplex kienerii
Dendroplex picus
Dendropsophus berthalutzae
Dendropsophus bifurcus
Dendropsophus bogerti
Dendropsophus branneri
Dendropsophus columbianus
Dendropsophus counani
Dendropsophus cruzi
Dendropsophus decipiens
Dendropsophus ebraccatus
Dendropsophus elegans
Dendropsophus gaucheri
Dendropsophus giesleri
Dendropsophus jimi
Dendropsophus joannae
Dendropsophus leali
Dendropsophus leucophyllatus
Dendropsophus marmoratus
Dendropsophus mathiassoni
Dendropsophus melanargyreus
Dendropsophus microcephalus
Dendropsophus microps
Dendropsophus minusculus
Dendropsophus minutus
Dendropsophus molitor
Dendropsophus nahdereri
Dendropsophus nanus
Dendropsophus norandinus
Dendropsophus praestans
Dendropsophus rhodopeplus
Dendropsophus riveroi
Dendropsophus robertmertensi
Dendropsophus rossalleni
Dendropsophus rozenmani
Dendropsophus rubicundulus
Dendropsophus sanborni
Dendropsophus sarayacuensis
Dendropsophus walfordi
Dendropsophus werneri
Dendrortyx barbatus
Dendrortyx leucophrys
Dendrortyx macroura
Deracantha onos
Dermatonotus muelleri
Deroptyus accipitrinus
Derotettix mendosensis
Dessonornis anomalus
Dessonornis archeri
Dessonornis caffer
Dessonornis humeralis
Devioeca papuana
Dianemobius csikii
Dianemobius fascipes
Dianemobius furumagiensis
Diasporus anthrax
Diasporus citrinobapheus
Diasporus diastema
Diasporus gularis
Diasporus hylaeformis
Diasporus quidditus
Diasporus tinker
Diasporus vocator
Dicaeum aeneum
Dicaeum annae
Dicaeum anthonyi
Dicaeum aureolimbatum
Dicaeum australe
Dicaeum bicolor
Dicaeum celebicum
Dicaeum concolor
Dicaeum cruentatum
Dicaeum dayakorum
Dicaeum erythrorhynchos
Dicaeum erythrothorax
Dicaeum eximium
Dicaeum geelvinkianum
Dicaeum haematostictum
Dicaeum hirundinaceum
Dicaeum hypoleucum
Dicaeum igniferum
Dicaeum ignipectus
Dicaeum kampalili
Dicaeum maugei
Dicaeum minullum
Dicaeum monticolum
Dicaeum nehrkorni
Dicaeum nigrilore
Dicaeum nitidum
Dicaeum pectorale
Dicaeum pygmaeum
Dicaeum quadricolor
Dicaeum retrocinctum
Dicaeum sanguinolentum
Dicaeum schistaceiceps
Dicaeum trigonostigma
Dicaeum tristrami
Dicaeum trochileum
Dicaeum virescens
Dicaeum vulneratum
Diceroprocta apache
Diceroprocta arizona
Diceroprocta aurantiaca
Diceroprocta azteca
Diceroprocta biconica
Diceroprocta bonhotei
Diceroprocta canescens
Diceroprocta cinctifera
Diceroprocta crucifera
Diceroprocta delicata
Diceroprocta digueti
Diceroprocta eugraphica
Diceroprocta knighti
Diceroprocta marevagans
Diceroprocta obscurior
Diceroprocta olympusa
Diceroprocta swalei
Diceroprocta texana
Diceroprocta viridifascia
Diceroprocta vitripennis
Diceros bicornis
Dichrozona cincta
Dichtha inflata
Dicotyles tajacu
Dicrurus adsimilis
Dicrurus aeneus
Dicrurus andamanensis
Dicrurus annectens
Dicrurus atripennis
Dicrurus balicassius
Dicrurus bracteatus
Dicrurus caerulescens
Dicrurus forficatus
Dicrurus hottentottus
Dicrurus leucophaeus
Dicrurus lophorinus
Dicrurus ludwigii
Dicrurus macrocercus
Dicrurus megarhynchus
Dicrurus menagei
Dicrurus modestus
Dicrurus montanus
Dicrurus palawanensis
Dicrurus paradiseus
Dicrurus remifer
Dicrurus sharpei
Dicrurus waldenii
Dictyophorodelphax mirabilis
Didelphis virginiana
Didunculus strigirostris
Diemeniana euronotiana
Diemeniana frenchi
Diglossa albilatera
Diglossa baritula
Diglossa brunneiventris
Diglossa caerulescens
Diglossa carbonaria
Diglossa cyanea
Diglossa glauca
Diglossa gloriosa
Diglossa gloriosissima
Diglossa humeralis
Diglossa indigotica
Diglossa lafresnayii
Diglossa major
Diglossa mystacalis
Diglossa plumbea
Diglossa sittoides
Diglossa venezuelensis
Dilobopyga luwukensis
Dilobopyga opercularis
Dimissalna dimissa
Dinarippiger discoidalis
Dinemellia dinemelli
Dinopium benghalense
Dinopium everetti
Dinopium javanense
Dinopium psarodes
Dinopium shorii
Diomedea antipodensis
Diomedea dabbenena
Diomedea epomophora
Diomedea exulans
Diomedea sanfordi
Diopsittaca nobilis
Diphaglossa gayi
Diphyllodes magnificus
Diphyllodes respublica
Diprion similis
Discosura conversii
Discosura langsdorffi
Discosura longicaudus
Discosura popelairii
Dishes_and_pots_and_pans
Diuca diuca
Dives dives
Dives warczewiczi
Dociostaurus brevicollis
Dociostaurus jagoi
Dociostaurus kraussi
Dociostaurus maroccanus
Dog
Dolichonyx oryzivorus
Dolichotis patagonum
Doliornis remseni
Doliornis sclateri
Domestic_animals_and_pets
Domestic_sounds_and_home_sounds
Donacobius atricapilla
Donacospiza albifrons
Door
Doorbell
Doricha eliza
Doricha enicura
Dorisiana metcalfi
Dorisiana noriegai
Doryfera johannae
Doryfera ludovicae
Dorymyrmex bureni
Drawer_open_or_close
Dremomys lokriah
Dremomys pernyi
Dremomys rufigenis
Drepanis coccinea
Drepanoptila holosericea
Drepanorhynchus reichenowi
Drepanornis albertisi
Drepanornis bruijnii
Dreptes thomensis
Drill
Driophlox atrimaxillaris
Driophlox cristata
Driophlox fuscicauda
Driophlox gutturalis
Drip
Dromaius novaehollandiae
Dromas ardeola
Dromococcyx pavoninus
Dromococcyx phasianellus
Drum
Drum_kit
Drymadusa dorsalis
Drymocichla incana
Drymodes beccarii
Drymodes brunneopygia
Drymodes superciliaris
Drymophila caudata
Drymophila devillei
Drymophila ferruginea
Drymophila genei
Drymophila hellmayri
Drymophila klagesi
Drymophila malura
Drymophila ochropyga
Drymophila rubricollis
Drymophila squamata
Drymophila striaticeps
Drymopsalta daemeli
Drymornis bridgesii
Drymotoxeres pucheranii
Dryobates affinis
Dryobates albolarvatus
Dryobates arizonae
Dryobates borealis
Dryobates callonotus
Dryobates cassini
Dryobates cathpharius
Dryobates chocoensis
Dryobates dignus
Dryobates frontalis
Dryobates fumigatus
Dryobates kirkii
Dryobates lignarius
Dryobates maculifrons
Dryobates minor
Dryobates mixtus
Dryobates nigriceps
Dryobates nuttallii
Dryobates passerinus
Dryobates pubescens
Dryobates sanguineus
Dryobates scalaris
Dryobates spilogaster
Dryobates stricklandi
Dryobates villosus
Dryocopus hodgei
Dryocopus javensis
Dryocopus lineatus
Dryocopus martius
Dryocopus pileatus
Dryocopus schulzii
Dryolimnas cuvieri
Dryophytes arenicolor
Dryophytes avivoca
Dryophytes chrysoscelis
Dryophytes cinereus
Dryophytes femoralis
Dryophytes gratiosus
Dryophytes japonicus
Dryophytes squirellus
Dryophytes versicolor
Dryoscopus angolensis
Dryoscopus cubla
Dryoscopus gambensis
Dryoscopus pringlii
Dryoscopus sabini
Dryoscopus senegalensis
Dubusia castaneoventris
Dubusia taeniata
Ducetia antipoda
Ducetia japonica
Ducetia javanica
Ducula aenea
Ducula aurorae
Ducula badia
Ducula bakeri
Ducula basilica
Ducula bicolor
Ducula brenchleyi
Ducula carola
Ducula chalconota
Ducula cineracea
Ducula concinna
Ducula cuprea
Ducula finschii
Ducula forsteni
Ducula galeata
Ducula geelvinkiana
Ducula goliath
Ducula lacernulata
Ducula latrans
Ducula luctuosa
Ducula melanochroa
Ducula myristicivora
Ducula neglecta
Ducula nicobarica
Ducula oceanica
Ducula pacifica
Ducula perspicillata
Ducula pickeringii
Ducula pinon
Ducula pistrinaria
Ducula poliocephala
Ducula rosacea
Ducula rubricera
Ducula rufigaster
Ducula spilorrhoa
Ducula subflavescens
Ducula whartoni
Ducula zoeae
Dudusa sphingiformis
Duellmanohyla legleri
Duellmanohyla salvadorensis
Dulus dominicus
Dumetella carolinensis
Dumetia atriceps
Dumetia hyperythra
Dundubia annandalei
Dundubia hastata
Dundubia kebuna
Dundubia nagarasingna
Dundubia oopaga
Dundubia rufivena
Dundubia vaginata
Duolandrevus firmus
Duolandrevus ivani
Duolandrevus karnyi
Duolandrevus lambir
Duolandrevus rufus
Duttaphrynus bengalensis
Duttaphrynus melanostictus
Duttaphrynus scaber
Dyaphorophyia castanea
Dyaphorophyia hormophora
Dyaphorophyia tonsa
Dysithamnus leucostictus
Dysithamnus mentalis
Dysithamnus occidentalis
Dysithamnus plumbeus
Dysithamnus puncticeps
Dysithamnus stictothorax
Dysithamnus striaticeps
Dysithamnus xanthopterus
Dyticopycna semiclara
Eburia quadrigeminata
Echeneis naucrates
Eclectus polychloros
Eclectus roratus
Ecnomiohyla minera
Ectadia fulva
Ectatoderus angusticollis
Ectatoderus argentatus
Ectatoderus guichardi
Ectatoderus hesperus
Ectemnius cephalotes
Edolisoma admiralitatis
Edolisoma anale
Edolisoma ceramense
Edolisoma coerulescens
Edolisoma dispar
Edolisoma dohertyi
Edolisoma holopolium
Edolisoma incertum
Edolisoma insperatum
Edolisoma melas
Edolisoma mindanense
Edolisoma monacha
Edolisoma montanum
Edolisoma morio
Edolisoma nesiotis
Edolisoma ostentum
Edolisoma remotum
Edolisoma salomonis
Edolisoma schisticeps
Edolisoma tenuirostre
Egretta ardesiaca
Egretta caerulea
Egretta garzetta
Egretta gularis
Egretta novaehollandiae
Egretta picata
Egretta rufescens
Egretta sacra
Egretta thula
Egretta tricolor
Eira barbara
Elachistocleis bicolor
Elachistocleis cesarii
Elachistocleis helianneae
Elachistocleis ovalis-complex
Elachistocleis panamensis
Elachistocleis pearsei
Elachistocleis surinamensis
Elachura formosa
Elaenia albiceps
Elaenia brachyptera
Elaenia chiriquensis
Elaenia cristata
Elaenia dayi
Elaenia fallax
Elaenia flavogaster
Elaenia frantzii
Elaenia gigas
Elaenia martinica
Elaenia mesoleuca
Elaenia obscura
Elaenia olivina
Elaenia pallatangae
Elaenia parvirostris
Elaenia pelzelni
Elaenia ridleyana
Elaenia ruficeps
Elaenia sordida
Elaenia spectabilis
Elaenia strepera
Elanoides forficatus
Elanus axillaris
Elanus caeruleus
Elanus leucurus
Elanus scriptus
Elaphe quatuorlineata
Elaphe sauromates
Elaphodus cephalophus
Elaphrornis palliseri
Elaphurus davidianus
Electric_guitar
Electron carinatum
Electron platyrhynchum
Eleoscytalopus indigoticus
Eleoscytalopus psychopompus
Eleothreptus anomalus
Eleothreptus candicans
Elephas maximus
Elephastomus proboscideus
Eleutherodactylus abbotti
Eleutherodactylus antillensis
Eleutherodactylus atkinsi
Eleutherodactylus auriculatoides
Eleutherodactylus brittoni
Eleutherodactylus campi
Eleutherodactylus cochranae
Eleutherodactylus cooki
Eleutherodactylus coqui
Eleutherodactylus flavescens
Eleutherodactylus guttilatus
Eleutherodactylus hedricki
Eleutherodactylus interorbitalis
Eleutherodactylus jamesdixoni
Eleutherodactylus johnstonei
Eleutherodactylus marnockii
Eleutherodactylus montserratae
Eleutherodactylus nitidus
Eleutherodactylus pallidus
Eleutherodactylus planirostris
Eleutherodactylus portoricensis
Eleutherodactylus richmondi
Eleutherodactylus unicolor
Eleutherodactylus wetmorei
Eleutherodactylus wightmanae
Elimaea chloris
Elimaea parumpunctata
Elimaea subcarinata
Elimaea thaii
Eliomys quercinus
Elliotomyia chionogaster
Elliotomyia viridicauda
Elminia albicauda
Elminia albiventris
Elminia albonotata
Elminia longicauda
Elminia nigromitrata
Emarginata schlegelii
Emarginata sinuata
Emarginata tractrac
Emberiza affinis
Emberiza aureola
Emberiza bruniceps
Emberiza buchanani
Emberiza cabanisi
Emberiza caesia
Emberiza calandra
Emberiza capensis
Emberiza chrysophrys
Emberiza cia
Emberiza cineracea
Emberiza cioides
Emberiza cirlus
Emberiza citrinella
Emberiza elegans
Emberiza flaviventris
Emberiza fucata
Emberiza godlewskii
Emberiza goslingi
Emberiza hortulana
Emberiza impetuani
Emberiza koslowi
Emberiza lathami
Emberiza leucocephalos
Emberiza melanocephala
Emberiza pallasi
Emberiza personata
Emberiza poliopleura
Emberiza pusilla
Emberiza rustica
Emberiza rutila
Emberiza sahari
Emberiza schoeniclus
Emberiza siemsseni
Emberiza spodocephala
Emberiza stewarti
Emberiza striolata
Emberiza sulphurata
Emberiza tahapisi
Emberiza tristrami
Emberiza variabilis
Emberiza yessoensis
Emberizoides herbicola
Emberizoides ypiranganus
Embernagra longicauda
Embernagra platensis
Emblema modesta
Emblema pictum
Emblema ruficauda
Eminia lepida
Emoloana sporobolicola
Empidonax affinis
Empidonax albigularis
Empidonax alnorum
Empidonax atriceps
Empidonax difficilis
Empidonax flavescens
Empidonax flaviventris
Empidonax fulvifrons
Empidonax hammondii
Empidonax minimus
Empidonax oberholseri
Empidonax traillii
Empidonax virescens
Empidonax wrightii
Empidonomus aurantioatrocristatus
Empidonomus varius
Empidornis semipartitus
Empusa pennata
Enaphalodes hispicornis
Enaphalodes rufulus
Encoptolophus costalis
Eneoptera nigripedis
Eneoptera surinamensis
Engine
Engine_starting
Engonia minor
Engystomops freibergi
Engystomops petersi
Engystomops pustulosus
Engystomops puyango
Enhydra lutris
Enicognathus ferrugineus
Enicognathus leptorhynchus
Enicurus borneensis
Enicurus immaculatus
Enicurus leschenaulti
Enicurus maculatus
Enicurus ruficapillus
Enicurus schistaceus
Enicurus scouleri
Enodes erythrophris
Ensifera ensifera
Entomodestes coracinus
Entomodestes leucotis
Entomyzon cyanotis
Eolophus roseicapilla
Eophona migratoria
Eophona personata
Eopsaltria australis
Eopsaltria capito
Eopsaltria georgiana
Eopsaltria griseogularis
Eopsaltria leucops
Eopsaltria placens
Eopycna coelestia
Eopycna concinna
Eopycna repanda
Epacromius pulverulentus
Ephippiger apulus
Ephippiger carlottae
Ephippiger cavannai
Ephippiger diurnus
Ephippiger ephippiger
Ephippiger melisi
Ephippiger perforatus
Ephippiger persicarius
Ephippiger provincialis
Ephippiger ruffoi
Ephippiger terrestris
Ephippiger zelleri
Ephippigerida areolaria
Ephippigerida asella
Ephippigerida carinata
Ephippigerida diluta
Ephippigerida laserena
Ephippigerida saussuriana
Ephippiorhynchus asiaticus
Ephippitytha froggatti
Ephippitytha trigintiduoguttata
Epidalea calamita
Epimachus fastosus
Epimachus meyeri
Epinecrophylla amazonica
Epinecrophylla erythrura
Epinecrophylla fulviventris
Epinecrophylla gutturalis
Epinecrophylla haematonota
Epinecrophylla leucophthalma
Epinecrophylla ornata
Epinecrophylla spodionota
Epipedobates anthonyi
Epipedobates machalilla
Epipedobates tricolor
Episyrphus balteatus
Epixerus ebii
Eptesicus nilssonii
Eptesicus serotinus
Epthianura albifrons
Epthianura aurifrons
Epthianura crocea
Epthianura tricolor
Equus asinus
Equus caballus
Equus grevyi
Equus hemionus
Equus kiang
Equus quagga
Equus zebra
Erebus purpurata
Eremalauda dunni
Eremalauda eremodites
Eremomela atricollis
Eremomela badiceps
Eremomela canescens
Eremomela flavicrissalis
Eremomela gregalis
Eremomela icteropygialis
Eremomela pusilla
Eremomela scotops
Eremomela turneri
Eremomela usticollis
Eremopedes balli
Eremopedes bilineatus
Eremopedes kelsoensis
Eremophila alpestris
Eremophila bilopha
Eremopterix australis
Eremopterix griseus
Eremopterix hova
Eremopterix leucopareia
Eremopterix leucotis
Eremopterix nigriceps
Eremopterix signatus
Eremopterix verticalis
Erethizon dorsatum
Erignathus barbatus
Erinaceus europaeus
Erinaceus roumanicus
Eriocnemis aline
Eriocnemis cupreoventris
Eriocnemis derbyi
Eriocnemis glaucopoides
Eriocnemis luciani
Eriocnemis mirabilis
Eriocnemis mosquera
Eriocnemis nigrivestis
Eriocnemis vestita
Eristalis intricaria
Eristalis pertinax
Eritettix simplex
Erithacus rubecula
Erpornis zantholeuca
Erythrocebus patas
Erythrocercus holochlorus
Erythrocercus livingstonei
Erythrocercus mccallii
Erythrogenys erythrocnemis
Erythrogenys erythrogenys
Erythrogenys gravivox
Erythrogenys hypoleucos
Erythrogenys imberbis
Erythrogenys mcclellandi
Erythrogenys swinhoei
Erythrogonys cinctus
Erythrolamprus aesculapii
Erythropitta arquata
Erythropitta celebensis
Erythropitta dohertyi
Erythropitta erythrogaster
Erythropitta granatina
Erythropitta kochi
Erythropitta macklotii
Erythropitta meeki
Erythropitta novaehibernicae
Erythropitta rubrinucha
Erythropitta rufiventris
Erythropitta ussheri
Erythropitta venusta
Erythrotriorchis radiatus
Erythrura coloria
Erythrura cyaneovirens
Erythrura hyperythra
Erythrura kleinschmidti
Erythrura pealii
Erythrura prasina
Erythrura psittacea
Erythrura trichroa
Esacus magnirostris
Esacus recurvirostris
Espadarana prosoblepon
Estrilda astrild
Estrilda atricapilla
Estrilda kandti
Estrilda melpoda
Estrilda nonnula
Estrilda paludicola
Estrilda poliopareia
Estrilda rhodopyga
Estrilda rufibarba
Estrilda troglodytes
Euanisous teuthroides
Eubalaena australis
Eubalaena glacialis
Eubucco bourcierii
Eubucco richardsoni
Eubucco tucinkae
Eubucco versicolor
Euchorthippus albolineatus
Euchorthippus chopardi
Euchorthippus declivus
Euchorthippus elegantulus
Euchorthippus pulvinatus
Euchorthippus sardous
Euchrepomis callinota
Euchrepomis humeralis
Euchrepomis sharpei
Euchrepomis spodioptila
Eucometis penicillata
Euconocephalus nasutus
Euconocephalus varius
Eudocimus albus
Eudocimus ruber
Eudromia elegans
Eudromia formosa
Eudromias morinellus
Eudynamys melanorhynchus
Eudynamys orientalis
Eudynamys scolopaceus
Eudyptes chrysocome
Eudyptes chrysolophus
Eudyptes moseleyi
Eudyptes pachyrhynchus
Eudyptes robustus
Eudyptes schlegeli
Eudyptes sclateri
Eudyptula minor
Eugaster guyoni
Eugaster spinulosa
Eugenes fulgens
Eugenes spectabilis
Eugerygone rubra
Eugralla paradoxa
Eugryllodes escalerae
Eugryllodes pipiens
Eulacestoma nigropectus
Eulampis holosericeus
Eulampis jugularis
Eulemur fulvus
Eulemur macaco
Eulemur mongoz
Eulidia yarrellii
Eumaeus atala
Eumetopias jubatus
Eumodicogryllus bordigalensis
Eumodicogryllus chivensis
Eumodicogryllus theryi
Eumomota superciliosa
Eumyias additus
Eumyias albicaudatus
Eumyias hoevelli
Eumyias hyacinthinus
Eumyias indigo
Eumyias oscillans
Eumyias panayensis
Eumyias sanfordi
Eumyias sordidus
Eumyias stresemanni
Eumyias thalassinus
Eunemobius carolinus
Euneornis campestris
Eunymphicus cornutus
Euodice cantans
Euodice malabarica
Euoticus elegantulus
Eupeodes corollae
Eupetes macrocerus
Eupetomena cirrochloris
Eupetomena macroura
Euphagus carolinus
Euphagus cyanocephalus
Eupherusa cyanophrys
Eupherusa eximia
Eupherusa nigriventris
Eupherusa ridgwayi
Euphlyctis cyanophlyctis
Eupholidoptera anatolica
Eupholidoptera annamariae
Eupholidoptera astyla
Eupholidoptera bimucronata
Eupholidoptera chabrieri
Eupholidoptera cypria
Eupholidoptera danconai
Eupholidoptera epirotica
Eupholidoptera feri
Eupholidoptera forcipata
